type,client,tx,amount
deposit,47,2542,6.0
deposit,87,2543,7.6499999999999995
deposit,43,2544,6.0
withdrawal,46,2545,2.0
withdrawal,60,2546,1.55
withdrawal,20,2547,2.0
withdrawal,51,2548,2.55
deposit,20,2549,7.6499999999999995
deposit,9,2550,6.0
deposit,57,2551,3.0
withdrawal,3,2552,1.55
withdrawal,57,2553,2.0
deposit,10,2554,6.0
withdrawal,93,2555,1.0
deposit,36,2556,3.0
deposit,16,2557,3.0
deposit,32,2558,6.0
withdrawal,13,2559,1.55
withdrawal,11,2560,1.55
withdrawal,85,2561,2.0
deposit,19,2562,6.0
withdrawal,47,2563,1.0
withdrawal,92,2564,1.0
withdrawal,60,2565,1.55
deposit,75,2566,3.0
withdrawal,89,2567,1.0
deposit,64,2568,4.65
deposit,43,2569,4.65
deposit,20,2570,7.6499999999999995
deposit,20,2571,3.0
deposit,4,2572,6.0
deposit,14,2573,6.0
withdrawal,56,2574,1.0
deposit,95,2575,3.0
deposit,18,2576,3.0
withdrawal,6,2577,2.0
deposit,15,2578,4.65
deposit,47,2579,7.6499999999999995
withdrawal,72,2580,1.55
deposit,25,2581,3.0
withdrawal,4,2582,2.55
deposit,92,2583,4.65
deposit,56,2584,3.0
deposit,78,2585,4.65
deposit,49,2586,4.65
withdrawal,90,2587,2.0
deposit,22,2588,4.65
deposit,91,2589,4.65
deposit,92,2590,4.65
deposit,65,2591,6.0
deposit,11,2592,7.6499999999999995
withdrawal,21,2593,2.0
deposit,8,2594,7.6499999999999995
withdrawal,49,2595,1.0
withdrawal,74,2596,2.0
deposit,21,2597,4.65
withdrawal,79,2598,1.55
withdrawal,28,2599,1.55
deposit,13,2600,4.65
withdrawal,55,2601,2.55
deposit,71,2602,7.6499999999999995
withdrawal,80,2603,2.55
deposit,6,2604,4.65
withdrawal,10,2605,1.55
withdrawal,77,2606,1.0
deposit,72,2607,4.65
withdrawal,41,2608,1.55
deposit,83,2609,7.6499999999999995
withdrawal,98,2610,2.0
withdrawal,34,2611,2.55
deposit,37,2612,6.0
deposit,39,2613,4.65
withdrawal,54,2614,1.0
withdrawal,34,2615,2.55
withdrawal,80,2616,2.0
withdrawal,69,2617,1.55
withdrawal,34,2618,1.55
withdrawal,96,2619,1.55
withdrawal,48,2620,1.55
deposit,7,2621,3.0
withdrawal,16,2622,1.55
deposit,40,2623,6.0
deposit,66,2624,4.65
withdrawal,95,2625,1.0
withdrawal,19,2626,1.0
deposit,5,2627,7.6499999999999995
withdrawal,65,2628,1.55
deposit,57,2629,4.65
deposit,74,2630,3.0
deposit,78,2631,6.0
deposit,88,2632,3.0
withdrawal,32,2633,2.55
withdrawal,40,2634,1.55
deposit,12,2635,7.6499999999999995
withdrawal,37,2636,1.0
deposit,20,2637,3.0
deposit,42,2638,3.0
deposit,32,2639,7.6499999999999995
withdrawal,57,2640,1.0
withdrawal,36,2641,1.0
deposit,52,2642,7.6499999999999995
withdrawal,31,2643,1.55
withdrawal,36,2644,2.0
deposit,89,2645,7.6499999999999995
withdrawal,45,2646,1.55
withdrawal,71,2647,2.0
withdrawal,81,2648,1.0
deposit,20,2649,6.0
deposit,88,2650,6.0
deposit,83,2651,6.0
withdrawal,36,2652,1.0
withdrawal,13,2653,2.55
deposit,98,2654,7.6499999999999995
withdrawal,45,2655,1.0
deposit,14,2656,7.6499999999999995
withdrawal,28,2657,1.55
deposit,39,2658,4.65
deposit,81,2659,4.65
deposit,90,2660,6.0
withdrawal,28,2661,1.55
withdrawal,54,2662,2.0
deposit,22,2663,4.65
withdrawal,58,2664,2.55
withdrawal,86,2665,2.55
withdrawal,71,2666,2.0
withdrawal,61,2667,2.55
withdrawal,22,2668,2.0
deposit,4,2669,4.65
deposit,4,2670,3.0
withdrawal,29,2671,2.55
withdrawal,88,2672,1.55
deposit,96,2673,4.65
deposit,71,2674,4.65
withdrawal,73,2675,2.0
withdrawal,21,2676,2.55
deposit,47,2677,7.6499999999999995
deposit,9,2678,6.0
withdrawal,32,2679,2.0
deposit,84,2680,7.6499999999999995
withdrawal,89,2681,2.0
withdrawal,55,2682,1.55
deposit,12,2683,6.0
deposit,3,2684,7.6499999999999995
deposit,1,2685,3.0
withdrawal,47,2686,2.55
deposit,82,2687,3.0
withdrawal,11,2688,2.0
withdrawal,65,2689,1.55
deposit,43,2690,3.0
withdrawal,49,2691,2.0
deposit,19,2692,4.65
withdrawal,98,2693,1.55
deposit,35,2694,7.6499999999999995
deposit,39,2695,4.65
deposit,8,2696,7.6499999999999995
withdrawal,88,2697,1.0
deposit,45,2698,4.65
withdrawal,56,2699,2.0
withdrawal,92,2700,1.0
withdrawal,70,2701,1.0
withdrawal,28,2702,1.55
deposit,11,2703,4.65
deposit,26,2704,7.6499999999999995
withdrawal,89,2705,2.55
deposit,75,2706,7.6499999999999995
deposit,79,2707,3.0
withdrawal,22,2708,2.55
withdrawal,91,2709,1.55
deposit,90,2710,4.65
withdrawal,48,2711,1.55
deposit,9,2712,7.6499999999999995
deposit,19,2713,4.65
deposit,33,2714,3.0
withdrawal,64,2715,2.0
deposit,21,2716,6.0
deposit,90,2717,7.6499999999999995
withdrawal,61,2718,1.0
withdrawal,95,2719,2.0
withdrawal,1,2720,1.55
withdrawal,83,2721,2.55
withdrawal,27,2722,2.55
withdrawal,38,2723,1.0
deposit,10,2724,7.6499999999999995
withdrawal,59,2725,1.0
deposit,37,2726,7.6499999999999995
withdrawal,99,2727,2.0
deposit,67,2728,4.65
withdrawal,46,2729,1.55
deposit,63,2730,7.6499999999999995
deposit,5,2731,3.0
deposit,96,2732,4.65
deposit,49,2733,3.0
withdrawal,65,2734,1.0
deposit,23,2735,3.0
withdrawal,88,2736,2.0
deposit,33,2737,6.0
deposit,68,2738,3.0
withdrawal,64,2739,2.55
withdrawal,86,2740,1.55
deposit,64,2741,3.0
deposit,91,2742,4.65
deposit,74,2743,7.6499999999999995
deposit,20,2744,3.0
withdrawal,36,2745,1.0
withdrawal,50,2746,2.0
withdrawal,44,2747,2.0
deposit,76,2748,6.0
withdrawal,55,2749,2.55
withdrawal,92,2750,1.55
withdrawal,87,2751,2.55
deposit,85,2752,6.0
deposit,21,2753,7.6499999999999995
withdrawal,59,2754,2.55
withdrawal,50,2755,2.55
deposit,2,2756,7.6499999999999995
withdrawal,79,2757,1.55
deposit,14,2758,3.0
deposit,2,2759,7.6499999999999995
deposit,63,2760,4.65
deposit,91,2761,6.0
deposit,47,2762,4.65
withdrawal,6,2763,2.55
withdrawal,54,2764,1.0
withdrawal,60,2765,2.0
deposit,73,2766,6.0
withdrawal,66,2767,2.0
deposit,37,2768,3.0
withdrawal,19,2769,1.55
withdrawal,9,2770,1.0
deposit,60,2771,6.0
deposit,86,2772,6.0
deposit,82,2773,3.0
withdrawal,58,2774,1.55
deposit,61,2775,6.0
withdrawal,54,2776,1.55
withdrawal,34,2777,1.0
deposit,75,2778,3.0
withdrawal,71,2779,2.0
withdrawal,56,2780,2.55
withdrawal,25,2781,2.55
deposit,97,2782,4.65
withdrawal,65,2783,2.0
deposit,18,2784,4.65
withdrawal,65,2785,2.0
deposit,52,2786,3.0
withdrawal,43,2787,2.55
deposit,93,2788,3.0
deposit,76,2789,4.65
deposit,58,2790,6.0
deposit,33,2791,3.0
withdrawal,25,2792,1.0
deposit,21,2793,4.65
deposit,18,2794,6.0
withdrawal,39,2795,2.55
withdrawal,83,2796,1.0
deposit,73,2797,7.6499999999999995
deposit,41,2798,6.0
deposit,92,2799,4.65
deposit,91,2800,7.6499999999999995
withdrawal,99,2801,1.55
withdrawal,27,2802,1.0
withdrawal,19,2803,1.0
withdrawal,30,2804,1.0
withdrawal,26,2805,1.55
deposit,48,2806,3.0
deposit,80,2807,7.6499999999999995
deposit,99,2808,4.65
withdrawal,13,2809,2.0
deposit,72,2810,6.0
withdrawal,10,2811,2.55
withdrawal,52,2812,1.55
deposit,55,2813,7.6499999999999995
deposit,69,2814,4.65
deposit,38,2815,6.0
deposit,8,2816,7.6499999999999995
deposit,39,2817,6.0
withdrawal,67,2818,1.55
withdrawal,76,2819,2.0
withdrawal,14,2820,1.55
deposit,52,2821,7.6499999999999995
withdrawal,81,2822,2.0
deposit,15,2823,4.65
withdrawal,35,2824,1.55
deposit,79,2825,6.0
deposit,74,2826,3.0
deposit,85,2827,3.0
withdrawal,44,2828,2.55
deposit,92,2829,6.0
withdrawal,38,2830,2.55
withdrawal,78,2831,2.0
withdrawal,34,2832,1.0
deposit,75,2833,4.65
deposit,57,2834,4.65
deposit,94,2835,3.0
withdrawal,36,2836,2.55
deposit,4,2837,6.0
deposit,26,2838,3.0
deposit,41,2839,7.6499999999999995
deposit,95,2840,7.6499999999999995
withdrawal,97,2841,1.0
deposit,89,2842,3.0
deposit,17,2843,6.0
deposit,85,2844,3.0
withdrawal,71,2845,1.0
deposit,54,2846,6.0
deposit,23,2847,6.0
deposit,54,2848,3.0
withdrawal,27,2849,2.0
deposit,44,2850,6.0
withdrawal,86,2851,1.55
withdrawal,82,2852,1.55
deposit,45,2853,4.65
withdrawal,47,2854,1.55
deposit,61,2855,3.0
withdrawal,26,2856,2.55
withdrawal,91,2857,1.0
deposit,67,2858,6.0
deposit,1,2859,3.0
deposit,90,2860,3.0
deposit,80,2861,4.65
deposit,10,2862,7.6499999999999995
deposit,64,2863,6.0
withdrawal,50,2864,1.0
deposit,19,2865,3.0
withdrawal,7,2866,2.0
deposit,30,2867,7.6499999999999995
deposit,22,2868,7.6499999999999995
withdrawal,72,2869,2.0
withdrawal,30,2870,1.0
deposit,96,2871,4.65
deposit,39,2872,4.65
withdrawal,10,2873,1.55
withdrawal,22,2874,2.55
deposit,12,2875,6.0
deposit,53,2876,6.0
deposit,45,2877,7.6499999999999995
withdrawal,44,2878,2.0
deposit,68,2879,7.6499999999999995
withdrawal,28,2880,1.55
withdrawal,78,2881,1.55
withdrawal,48,2882,1.55
withdrawal,3,2883,2.0
deposit,11,2884,3.0
withdrawal,2,2885,1.55
withdrawal,46,2886,2.55
deposit,82,2887,6.0
withdrawal,26,2888,1.55
withdrawal,95,2889,1.0
withdrawal,9,2890,2.0
deposit,35,2891,7.6499999999999995
withdrawal,38,2892,2.55
withdrawal,76,2893,2.0
deposit,6,2894,4.65
deposit,69,2895,7.6499999999999995
withdrawal,97,2896,2.0
deposit,51,2897,6.0
deposit,65,2898,6.0
withdrawal,57,2899,2.55
withdrawal,60,2900,1.55
withdrawal,86,2901,1.0
deposit,23,2902,7.6499999999999995
deposit,61,2903,7.6499999999999995
deposit,39,2904,3.0
withdrawal,48,2905,2.55
deposit,67,2906,3.0
withdrawal,95,2907,2.0
withdrawal,16,2908,2.0
withdrawal,42,2909,2.55
deposit,15,2910,4.65
deposit,24,2911,4.65
withdrawal,98,2912,2.55
deposit,5,2913,4.65
withdrawal,9,2914,1.0
withdrawal,72,2915,2.0
deposit,73,2916,6.0
withdrawal,3,2917,2.0
deposit,57,2918,6.0
withdrawal,33,2919,1.0
withdrawal,47,2920,1.55
deposit,17,2921,4.65
withdrawal,45,2922,1.0
withdrawal,36,2923,2.0
deposit,85,2924,4.65
withdrawal,92,2925,2.55
deposit,57,2926,6.0
deposit,50,2927,6.0
withdrawal,76,2928,1.55
withdrawal,27,2929,2.55
deposit,45,2930,4.65
deposit,97,2931,6.0
withdrawal,75,2932,2.0
deposit,25,2933,3.0
withdrawal,60,2934,2.55
deposit,40,2935,4.65
deposit,37,2936,6.0
withdrawal,21,2937,2.55
withdrawal,23,2938,2.55
deposit,79,2939,3.0
deposit,10,2940,3.0
withdrawal,24,2941,2.55
deposit,45,2942,3.0
deposit,13,2943,7.6499999999999995
deposit,2,2944,4.65
deposit,24,2945,3.0
deposit,27,2946,4.65
deposit,22,2947,4.65
deposit,19,2948,4.65
withdrawal,30,2949,1.55
deposit,54,2950,7.6499999999999995
withdrawal,31,2951,2.0
deposit,85,2952,3.0
deposit,53,2953,3.0
withdrawal,17,2954,1.55
deposit,87,2955,6.0
withdrawal,79,2956,1.0
deposit,24,2957,6.0
deposit,19,2958,3.0
withdrawal,76,2959,1.55
withdrawal,32,2960,1.0
withdrawal,62,2961,1.0
withdrawal,48,2962,1.0
withdrawal,5,2963,2.0
withdrawal,71,2964,1.0
deposit,70,2965,3.0
withdrawal,13,2966,1.55
withdrawal,48,2967,2.0
withdrawal,10,2968,2.55
withdrawal,42,2969,2.55
withdrawal,1,2970,2.0
deposit,7,2971,7.6499999999999995
deposit,39,2972,7.6499999999999995
withdrawal,85,2973,2.0
withdrawal,37,2974,1.55
deposit,6,2975,4.65
withdrawal,75,2976,2.55
withdrawal,7,2977,2.0
deposit,50,2978,3.0
deposit,16,2979,7.6499999999999995
deposit,56,2980,7.6499999999999995
deposit,55,2981,3.0
withdrawal,17,2982,2.55
deposit,75,2983,4.65
withdrawal,77,2984,2.55
withdrawal,76,2985,2.55
withdrawal,22,2986,1.0
deposit,94,2987,7.6499999999999995
deposit,76,2988,7.6499999999999995
withdrawal,16,2989,2.55
withdrawal,78,2990,1.55
withdrawal,22,2991,2.0
withdrawal,40,2992,1.0
deposit,57,2993,6.0
deposit,90,2994,6.0
withdrawal,66,2995,1.0
deposit,40,2996,3.0
deposit,85,2997,3.0
deposit,79,2998,3.0
withdrawal,55,2999,1.0
deposit,38,3000,7.6499999999999995
withdrawal,94,3001,2.0
deposit,19,3002,3.0
deposit,9,3003,7.6499999999999995
deposit,8,3004,4.65
deposit,13,3005,3.0
withdrawal,40,3006,2.0
withdrawal,93,3007,2.55
withdrawal,18,3008,2.55
withdrawal,15,3009,1.55
withdrawal,47,3010,1.55
deposit,64,3011,6.0
deposit,51,3012,4.65
deposit,66,3013,4.65
deposit,59,3014,6.0
deposit,72,3015,4.65
withdrawal,89,3016,2.0
deposit,7,3017,6.0
deposit,27,3018,3.0
deposit,10,3019,6.0
withdrawal,25,3020,1.0
withdrawal,80,3021,2.55
withdrawal,5,3022,1.55
withdrawal,4,3023,2.55
withdrawal,78,3024,1.0
withdrawal,13,3025,1.0
withdrawal,24,3026,2.55
withdrawal,42,3027,1.55
deposit,87,3028,3.0
deposit,67,3029,4.65
withdrawal,40,3030,2.0
deposit,55,3031,4.65
withdrawal,54,3032,2.0
withdrawal,78,3033,2.0
deposit,73,3034,6.0
withdrawal,22,3035,2.55
deposit,66,3036,4.65
deposit,90,3037,3.0
withdrawal,18,3038,1.55
deposit,57,3039,4.65
withdrawal,58,3040,2.0
deposit,31,3041,3.0
withdrawal,19,3042,1.55
withdrawal,86,3043,1.0
withdrawal,60,3044,2.55
deposit,2,3045,4.65
deposit,37,3046,6.0
deposit,71,3047,4.65
withdrawal,26,3048,1.0
withdrawal,65,3049,2.55
deposit,16,3050,4.65
withdrawal,38,3051,2.55
deposit,58,3052,6.0
withdrawal,64,3053,1.0
deposit,53,3054,7.6499999999999995
deposit,82,3055,3.0
withdrawal,25,3056,2.0
withdrawal,9,3057,2.0
deposit,50,3058,3.0
deposit,14,3059,6.0
deposit,73,3060,6.0
deposit,31,3061,6.0
deposit,24,3062,4.65
deposit,65,3063,4.65
withdrawal,80,3064,2.0
deposit,22,3065,6.0
deposit,66,3066,6.0
deposit,94,3067,6.0
withdrawal,94,3068,2.55
withdrawal,65,3069,2.55
deposit,68,3070,6.0
withdrawal,48,3071,1.55
withdrawal,69,3072,1.0
withdrawal,14,3073,1.55
deposit,5,3074,6.0
deposit,86,3075,4.65
withdrawal,70,3076,2.0
withdrawal,30,3077,2.55
deposit,47,3078,3.0
deposit,68,3079,6.0
withdrawal,34,3080,1.55
deposit,75,3081,6.0
deposit,44,3082,7.6499999999999995
withdrawal,34,3083,1.55
deposit,23,3084,4.65
deposit,18,3085,7.6499999999999995
deposit,74,3086,3.0
deposit,49,3087,3.0
deposit,6,3088,7.6499999999999995
deposit,25,3089,4.65
withdrawal,59,3090,2.55
deposit,12,3091,3.0
withdrawal,28,3092,1.55
deposit,53,3093,7.6499999999999995
withdrawal,18,3094,2.55
deposit,86,3095,4.65
withdrawal,97,3096,1.0
deposit,22,3097,7.6499999999999995
deposit,59,3098,7.6499999999999995
withdrawal,71,3099,2.55
withdrawal,26,3100,1.55
withdrawal,73,3101,1.55
deposit,39,3102,6.0
withdrawal,48,3103,2.55
deposit,90,3104,6.0
withdrawal,4,3105,1.55
withdrawal,90,3106,1.0
deposit,27,3107,7.6499999999999995
deposit,87,3108,4.65
deposit,30,3109,7.6499999999999995
deposit,43,3110,4.65
deposit,9,3111,6.0
withdrawal,94,3112,1.55
deposit,91,3113,7.6499999999999995
withdrawal,89,3114,1.55
deposit,90,3115,4.65
withdrawal,22,3116,2.0
withdrawal,98,3117,2.55
withdrawal,57,3118,2.0
withdrawal,58,3119,2.0
withdrawal,89,3120,2.0
withdrawal,93,3121,1.0
withdrawal,46,3122,2.0
withdrawal,72,3123,2.55
withdrawal,82,3124,1.55
withdrawal,77,3125,1.0
deposit,81,3126,3.0
deposit,67,3127,4.65
deposit,39,3128,6.0
withdrawal,16,3129,2.0
deposit,23,3130,4.65
withdrawal,27,3131,1.55
deposit,18,3132,6.0
withdrawal,77,3133,2.55
withdrawal,45,3134,1.0
withdrawal,27,3135,1.0
deposit,97,3136,4.65
deposit,98,3137,3.0
withdrawal,88,3138,2.0
deposit,73,3139,3.0
withdrawal,56,3140,2.0
withdrawal,64,3141,1.0
deposit,26,3142,7.6499999999999995
deposit,56,3143,6.0
withdrawal,58,3144,2.0
withdrawal,34,3145,1.55
deposit,87,3146,4.65
deposit,83,3147,3.0
withdrawal,27,3148,2.0
deposit,76,3149,7.6499999999999995
deposit,38,3150,7.6499999999999995
withdrawal,94,3151,2.55
withdrawal,36,3152,2.55
deposit,75,3153,3.0
withdrawal,45,3154,1.55
deposit,87,3155,4.65
deposit,54,3156,6.0
deposit,61,3157,6.0
withdrawal,29,3158,2.0
withdrawal,88,3159,2.0
deposit,88,3160,3.0
deposit,8,3161,7.6499999999999995
deposit,93,3162,3.0
withdrawal,68,3163,2.0
withdrawal,88,3164,2.55
withdrawal,74,3165,1.0
withdrawal,47,3166,2.55
withdrawal,12,3167,2.0
withdrawal,58,3168,2.55
deposit,46,3169,6.0
withdrawal,5,3170,2.0
deposit,63,3171,6.0
withdrawal,94,3172,1.0
deposit,44,3173,7.6499999999999995
deposit,15,3174,7.6499999999999995
withdrawal,93,3175,1.0
withdrawal,41,3176,2.55
deposit,31,3177,3.0
deposit,13,3178,7.6499999999999995
withdrawal,41,3179,2.0
withdrawal,47,3180,1.55
deposit,83,3181,3.0
deposit,16,3182,6.0
deposit,51,3183,4.65
deposit,46,3184,7.6499999999999995
withdrawal,84,3185,1.0
withdrawal,57,3186,1.0
withdrawal,11,3187,1.55
deposit,11,3188,4.65
withdrawal,80,3189,1.55
withdrawal,70,3190,1.55
withdrawal,62,3191,2.55
withdrawal,85,3192,1.55
withdrawal,57,3193,2.0
withdrawal,95,3194,2.0
deposit,37,3195,3.0
deposit,13,3196,4.65
deposit,8,3197,3.0
deposit,82,3198,4.65
deposit,64,3199,3.0
withdrawal,59,3200,1.55
withdrawal,8,3201,2.55
withdrawal,33,3202,1.55
deposit,43,3203,3.0
deposit,80,3204,6.0
withdrawal,31,3205,1.55
deposit,66,3206,6.0
withdrawal,54,3207,1.55
deposit,15,3208,4.65
withdrawal,95,3209,2.0
withdrawal,53,3210,1.55
deposit,78,3211,6.0
withdrawal,4,3212,2.0
withdrawal,91,3213,1.0
withdrawal,14,3214,1.0
withdrawal,64,3215,1.55
withdrawal,6,3216,2.55
deposit,70,3217,3.0
withdrawal,65,3218,2.0
withdrawal,21,3219,2.55
deposit,97,3220,7.6499999999999995
deposit,92,3221,3.0
deposit,43,3222,3.0
deposit,77,3223,7.6499999999999995
deposit,73,3224,4.65
withdrawal,79,3225,1.55
withdrawal,10,3226,1.55
withdrawal,26,3227,1.55
withdrawal,28,3228,1.0
deposit,21,3229,6.0
withdrawal,47,3230,2.55
withdrawal,49,3231,2.55
withdrawal,54,3232,1.0
withdrawal,62,3233,1.55
withdrawal,69,3234,1.55
withdrawal,78,3235,1.55
deposit,40,3236,4.65
deposit,25,3237,4.65
withdrawal,22,3238,1.55
withdrawal,10,3239,1.55
deposit,12,3240,6.0
withdrawal,2,3241,2.0
deposit,92,3242,3.0
withdrawal,7,3243,1.0
withdrawal,18,3244,1.0
withdrawal,8,3245,1.55
deposit,8,3246,7.6499999999999995
deposit,93,3247,6.0
withdrawal,75,3248,2.55
deposit,17,3249,3.0
withdrawal,97,3250,1.0
withdrawal,85,3251,1.55
deposit,58,3252,4.65
deposit,34,3253,7.6499999999999995
deposit,38,3254,4.65
withdrawal,56,3255,1.0
deposit,73,3256,7.6499999999999995
withdrawal,48,3257,2.55
deposit,75,3258,6.0
deposit,4,3259,6.0
deposit,90,3260,6.0
withdrawal,8,3261,1.55
deposit,65,3262,3.0
withdrawal,15,3263,2.0
withdrawal,15,3264,2.55
withdrawal,20,3265,1.0
withdrawal,74,3266,1.0
deposit,65,3267,3.0
deposit,45,3268,7.6499999999999995
deposit,79,3269,7.6499999999999995
withdrawal,67,3270,1.0
withdrawal,32,3271,1.0
withdrawal,48,3272,1.55
withdrawal,63,3273,1.55
deposit,7,3274,6.0
deposit,28,3275,3.0
deposit,54,3276,4.65
deposit,63,3277,7.6499999999999995
deposit,37,3278,4.65
deposit,84,3279,4.65
deposit,98,3280,7.6499999999999995
deposit,33,3281,7.6499999999999995
withdrawal,79,3282,2.0
deposit,68,3283,4.65
withdrawal,9,3284,2.55
deposit,57,3285,4.65
withdrawal,42,3286,2.55
deposit,76,3287,4.65
deposit,41,3288,4.65
withdrawal,64,3289,2.0
deposit,59,3290,6.0
deposit,31,3291,6.0
deposit,58,3292,3.0
withdrawal,41,3293,2.0
withdrawal,55,3294,1.0
deposit,9,3295,6.0
deposit,97,3296,7.6499999999999995
deposit,6,3297,7.6499999999999995
deposit,22,3298,7.6499999999999995
deposit,55,3299,3.0
withdrawal,56,3300,1.0
withdrawal,12,3301,2.55
withdrawal,84,3302,1.0
deposit,22,3303,3.0
withdrawal,75,3304,1.55
deposit,27,3305,4.65
withdrawal,86,3306,1.55
withdrawal,41,3307,2.55
deposit,16,3308,6.0
withdrawal,62,3309,2.55
withdrawal,72,3310,1.55
withdrawal,11,3311,2.0
withdrawal,39,3312,1.0
withdrawal,59,3313,2.55
withdrawal,41,3314,1.0
withdrawal,43,3315,1.55
deposit,27,3316,4.65
withdrawal,43,3317,2.55
withdrawal,41,3318,1.55
deposit,13,3319,7.6499999999999995
deposit,80,3320,3.0
deposit,55,3321,7.6499999999999995
deposit,67,3322,3.0
deposit,39,3323,7.6499999999999995
withdrawal,32,3324,2.55
deposit,70,3325,7.6499999999999995
withdrawal,10,3326,1.0
withdrawal,29,3327,2.0
deposit,72,3328,3.0
deposit,32,3329,4.65
deposit,31,3330,3.0
withdrawal,79,3331,1.55
withdrawal,21,3332,1.55
withdrawal,82,3333,2.0
deposit,43,3334,7.6499999999999995
deposit,89,3335,6.0
withdrawal,56,3336,2.0
withdrawal,4,3337,2.55
deposit,3,3338,4.65
withdrawal,63,3339,2.0
deposit,78,3340,7.6499999999999995
withdrawal,28,3341,2.55
withdrawal,2,3342,2.0
withdrawal,15,3343,2.55
deposit,34,3344,6.0
withdrawal,6,3345,1.55
deposit,53,3346,4.65
withdrawal,44,3347,1.55
withdrawal,81,3348,1.0
deposit,1,3349,7.6499999999999995
withdrawal,67,3350,2.0
withdrawal,38,3351,1.55
withdrawal,90,3352,1.55
deposit,98,3353,7.6499999999999995
deposit,91,3354,7.6499999999999995
withdrawal,52,3355,2.0
deposit,87,3356,3.0
withdrawal,35,3357,2.0
withdrawal,66,3358,1.0
deposit,71,3359,6.0
withdrawal,19,3360,1.55
withdrawal,32,3361,1.55
withdrawal,45,3362,2.0
deposit,94,3363,3.0
deposit,81,3364,3.0
deposit,22,3365,3.0
withdrawal,78,3366,2.55
deposit,99,3367,3.0
deposit,7,3368,4.65
withdrawal,56,3369,1.0
withdrawal,75,3370,1.55
deposit,1,3371,3.0
withdrawal,83,3372,1.0
deposit,88,3373,7.6499999999999995
deposit,76,3374,6.0
withdrawal,68,3375,2.55
deposit,50,3376,7.6499999999999995
deposit,1,3377,6.0
deposit,69,3378,3.0
deposit,43,3379,4.65
withdrawal,29,3380,2.0
withdrawal,30,3381,2.55
withdrawal,40,3382,2.0
withdrawal,69,3383,2.55
withdrawal,78,3384,2.0
deposit,55,3385,7.6499999999999995
deposit,20,3386,4.65
deposit,79,3387,7.6499999999999995
withdrawal,92,3388,2.0
withdrawal,68,3389,2.0
withdrawal,18,3390,1.55
withdrawal,65,3391,1.0
deposit,56,3392,3.0
withdrawal,7,3393,2.55
deposit,55,3394,7.6499999999999995
deposit,24,3395,4.65
withdrawal,15,3396,2.0
withdrawal,45,3397,1.0
deposit,25,3398,6.0
deposit,16,3399,3.0
withdrawal,55,3400,1.0
withdrawal,46,3401,2.0
deposit,42,3402,6.0
withdrawal,40,3403,1.0
withdrawal,47,3404,1.0
withdrawal,16,3405,1.55
deposit,10,3406,4.65
deposit,87,3407,6.0
withdrawal,76,3408,1.0
withdrawal,82,3409,1.0
withdrawal,38,3410,2.0
deposit,98,3411,3.0
deposit,9,3412,3.0
withdrawal,52,3413,1.55
withdrawal,67,3414,2.55
withdrawal,93,3415,2.55
withdrawal,79,3416,2.55
withdrawal,31,3417,1.0
deposit,74,3418,3.0
withdrawal,37,3419,1.0
withdrawal,2,3420,2.55
deposit,43,3421,4.65
withdrawal,71,3422,1.0
withdrawal,24,3423,2.0
deposit,16,3424,4.65
withdrawal,73,3425,1.55
withdrawal,53,3426,1.55
deposit,21,3427,7.6499999999999995
deposit,89,3428,3.0
deposit,36,3429,7.6499999999999995
withdrawal,53,3430,2.55
withdrawal,36,3431,2.55
deposit,85,3432,7.6499999999999995
deposit,5,3433,4.65
withdrawal,21,3434,1.55
withdrawal,90,3435,2.55
withdrawal,23,3436,2.55
withdrawal,17,3437,1.55
withdrawal,59,3438,1.0
withdrawal,24,3439,1.55
withdrawal,16,3440,1.0
deposit,32,3441,6.0
deposit,96,3442,6.0
withdrawal,74,3443,2.0
deposit,83,3444,4.65
withdrawal,32,3445,1.55
withdrawal,94,3446,2.0
deposit,74,3447,4.65
deposit,63,3448,7.6499999999999995
withdrawal,38,3449,2.0
deposit,55,3450,6.0
deposit,5,3451,4.65
withdrawal,53,3452,2.0
withdrawal,16,3453,2.55
withdrawal,78,3454,2.55
withdrawal,10,3455,1.0
deposit,7,3456,3.0
deposit,23,3457,4.65
withdrawal,23,3458,2.55
deposit,20,3459,6.0
deposit,64,3460,4.65
withdrawal,4,3461,2.55
deposit,42,3462,6.0
deposit,51,3463,4.65
deposit,28,3464,4.65
deposit,58,3465,6.0
withdrawal,81,3466,2.0
deposit,99,3467,4.65
deposit,37,3468,6.0
withdrawal,9,3469,2.0
deposit,16,3470,3.0
deposit,24,3471,4.65
deposit,18,3472,7.6499999999999995
deposit,17,3473,7.6499999999999995
deposit,95,3474,6.0
deposit,47,3475,4.65
withdrawal,42,3476,2.55
withdrawal,25,3477,2.0
withdrawal,71,3478,2.55
withdrawal,42,3479,1.55
withdrawal,69,3480,1.0
withdrawal,73,3481,1.55
deposit,70,3482,4.65
withdrawal,9,3483,1.0
withdrawal,45,3484,2.55
withdrawal,92,3485,1.0
deposit,91,3486,4.65
deposit,38,3487,7.6499999999999995
deposit,11,3488,3.0
withdrawal,94,3489,1.0
withdrawal,2,3490,1.0
deposit,41,3491,3.0
deposit,37,3492,4.65
withdrawal,81,3493,1.0
withdrawal,3,3494,1.0
withdrawal,28,3495,2.0
deposit,92,3496,3.0
withdrawal,71,3497,1.55
deposit,48,3498,4.65
withdrawal,50,3499,1.55
deposit,77,3500,4.65
